143,156,212,80,108,106,73,40,150,141,77,70,152,165,181,98
150,165,201,81,115,114,81,31,147,149,81,70,152,172,181,98
152,171,197,83,117,117,86,28,148,152,87,70,152,181,181,98
152,175,195,87,117,119,91,27,152,154,96,70,152,191,181,98
152,178,197,91,117,117,95,28,157,152,106,70,152,199,181,98
150,179,201,95,115,114,96,31,161,149,114,70,152,206,181,98
147,178,206,98,112,110,95,35,166,145,120,70,152,209,181,98
144,175,212,100,109,107,92,40,170,142,122,70,152,210,181,98
140,172,217,102,105,103,88,46,170,138,120,70,152,209,181,98
136,167,221,103,101,100,83,51,169,135,115,70,152,206,181,98
133,162,224,102,98,98,77,55,167,133,106,70,152,200,181,98
131,157,225,98,96,98,73,57,163,133,96,70,152,191,181,98
133,153,224,93,98,98,70,55,159,133,88,70,152,181,181,98
136,152,221,89,101,100,69,51,155,135,81,70,152,173,181,98
140,153,217,84,105,103,70,46,152,138,78,70,152,167,181,98
143,156,212,80,108,106,73,40,150,141,77,70,152,165,181,98
